,R_mean,R_std,R_sum,G_mean,G_std,G_sum,B_mean,B_std,B_sum,total_mean,total_std,total_sum,class
908,173.6004862882653,42.64692849394438,8710578,163.31335698341837,50.40105499125292,8194411,179.98094706632654,47.69875086803555,9030724,172.2982634460034,47.52418908532132,25935713,cellSpace
909,117.30777662627551,24.327195078582953,5886035,99.19331951530613,27.221926069669514,4977124,146.26981026785714,26.041425414585902,7339234,120.92363546981292,32.3455878521812,18202393,cellSpace
910,165.3809590242347,55.69135734858437,8298155,154.16968271683675,65.13265954551552,7735618,172.74294483418367,53.87909725471989,8667550,164.0978621917517,58.93980059587763,24701323,cellSpace
911,143.1042330994898,49.0641871502634,7180398,136.96322943239795,52.44604156611531,6872267,168.67289142219389,35.1357403800038,8463331,149.58011798469389,48.15966136385987,22515996,cellSpace
912,166.20372289540816,56.001233064661164,8339438,152.69060905612244,66.53281696215686,7661404,163.17458545918367,60.782776925789584,8187448,160.68963913690476,61.53011286799963,24188290,cellSpace
913,193.59444754464286,46.03482731059065,9713795,184.84127869897958,55.696592805007995,9274596,189.44266183035714,44.525900600216076,9505475,189.29279602465985,49.133200831762814,28493866,cellSpace
914,186.72546635841837,38.12068636182632,9369137,190.6252590880102,37.888108741568395,9564813,197.9480428890306,28.59560833282238,9932241,191.76625611181973,35.455748250173585,28866191,cellSpace
915,192.7092434630102,47.9229327640896,9669379,184.63032126913265,55.380138842054926,9264011,201.1989198022959,43.629759965746224,10095357,192.84616151147958,49.68034677163574,29028747,cellSpace
916,149.09777582908163,67.11061546479264,7481130,130.35184151785714,79.93486075102719,6540534,158.72863520408163,63.30354735935134,7964368,146.0594175170068,71.45447133532214,21986032,cellSpace
917,196.8623644770408,29.268898798617933,9877766,195.44893973214286,32.373240334017325,9806846,200.03513632015307,27.018900555321324,10036963,197.44881350977892,29.69707391365949,29721575,cellSpace
918,186.0739198022959,47.74345063057449,9336445,171.19868064413265,61.89763654430418,8590065,175.8545918367347,54.56459825101929,8823680,177.70906409438774,55.389062822961435,26750190,cellSpace
919,178.48933753188774,27.890745064045706,8955881,172.94945790816325,30.476157794291673,8677912,197.2569355867347,19.787274299889443,9897564,182.89857700892858,28.418391363371168,27531357,cellSpace
920,186.8985371492347,44.62959277332271,9377821,178.50944674744898,51.50556990182736,8956890,197.4247448979592,42.91671590511477,9905984,187.61090959821428,47.13853430731387,28240695,cellSpace
921,140.29844945790816,64.05092038815921,7039615,130.19784359056123,69.7001654385034,6532807,157.9658203125,62.17754163129532,7926093,142.82070445365648,66.38712995013151,21498515,cellSpace
922,228.80980947066325,20.543168295752277,11480761,230.26415019132654,21.828414751340148,11553734,225.04607780612244,14.143182285189901,11291912,228.04001248937075,19.261655174062454,34326407,cellSpace
923,177.80161830357142,42.92413135831391,8921374,166.52092633928572,54.92094054517262,8355354,174.91511878188774,49.77188386556235,8776541,173.07922114158163,49.68136462354965,26053269,cellSpace
924,163.93995137117346,42.628695002605774,8225851,162.30532525510205,44.350739455663046,8143832,187.4801698022959,27.87850180947337,9407005,171.24181547619048,40.65409704293855,25776688,cellSpace
925,152.16346460459184,61.34871315564539,7634954,136.9385762117347,70.47485884816837,6871030,166.6926817602041,58.20471532595541,8363972,151.93157419217687,64.70675719463979,22869956,cellSpace
926,87.4742506377551,43.359151723506756,4389108,69.24216757015306,43.82836013248048,3474295,93.47138073979592,45.875946826899124,4690020,83.39593298256803,45.548582433499405,12553423,cellSpace
927,136.4012077487245,71.11014406274433,6844067,124.47431042729592,79.31144622533704,6245623,157.40222417091837,58.80230322014938,7897814,139.42591411564626,71.55537710900566,20987504,cellSpace
928,120.52818080357143,45.89244896122494,6047622,87.42394770408163,54.18783832994508,4386584,117.23014987244898,51.13587736791775,5882140,108.39409279336735,52.66996497159611,16316346,cellSpace
929,220.10987324617346,17.923858224562423,11044233,221.76769770408163,21.127350074400486,11127416,218.50581951530611,15.670292963659456,10963748,220.12779682185374,18.425599066954394,33135397,cellSpace
930,188.94967713647958,51.68927595449532,9480739,184.5499641262755,55.79392679868211,9259979,201.79450334821428,42.290857922532254,10125241,191.76471487032313,50.773463878924694,28865959,cellSpace
931,226.8985969387755,16.316272374684377,11384864,226.18112244897958,20.27434404882205,11348864,222.0459582270408,16.248129565337035,11141378,225.0418925382653,17.84182636021685,33875106,cellSpace
932,180.95298549107142,41.03095251574061,9079497,175.73722496811226,46.57341510008593,8817791,186.07844387755102,38.72604521177316,9336672,180.92288477891157,42.44918687687648,27233960,cellSpace
933,129.11190609056123,54.53326440041826,6478319,111.61641023596938,61.38624509392102,5600465,142.9986647002551,60.19632575612176,7175101,127.90899367559524,60.167375136590714,19253885,cellSpace
934,209.14598612882654,22.245277984555266,10494109,204.73353794642858,26.738932883999443,10272710,210.25597895408163,22.921631528551355,10549804,208.04516767644557,24.168095329414516,31316623,cellSpace
935,189.06166294642858,30.378339899564732,9486358,175.38472576530611,38.31702052584943,8800104,181.7405333227041,32.06634339511482,9119013,182.06230734481292,34.219743759392365,27405475,cellSpace
936,149.38494499362244,64.32535573825582,7495539,134.37924505739795,73.17691369046453,6742613,162.1649792729592,60.070430319781956,8136790,148.64305644132654,67.05201413281976,22374942,cellSpace
937,142.31487165178572,60.19716627038588,7140791,124.26735889668367,69.41616699790347,6235239,156.32043207908163,56.30077925038926,7843534,140.96755420918367,63.58328778990372,21219564,cellSpace
938,149.70493861607142,66.56214857747891,7511595,129.2918327487245,80.83289938526362,6487347,147.5974968112245,72.29955371416347,7405852,142.1980893920068,74.03553327026951,21404794,cellSpace
939,179.23459422831633,51.23537340888408,8993275,167.46755420918367,61.196585736075185,8402852,187.02248086734693,52.64156059140305,9384040,177.90820976828232,55.78248236828998,26780167,cellSpace
940,139.74904336734693,59.55017391553587,7012048,125.83085538903062,66.9638496220453,6313689,156.99493781887756,61.82722637673995,7877378,140.85827885841837,64.13639609697508,21203115,cellSpace
941,207.14351482780611,34.197793342114416,10393633,204.5008769132653,38.45412054625778,10261036,203.97855548469389,34.46219082667395,10234828,205.2076490752551,35.7845815363051,30889497,cellSpace
942,194.90310108418367,46.07368939926905,9779458,192.50288982780611,54.10029195138808,9659025,195.77208227040816,48.29323346530079,9823060,194.3926910607993,49.6239103316843,29261543,cellSpace
